Words
Bottom Line
Buy-in
Core competency
Ecosystem
Move the needle
Synergy
Thought leadership
Value add
Wheelhouse
Go-getter
Go-to-person
Strategic thinker
Best of breed
Think outside the box
Results-driven
Detail-oriented
Proactive
Hard worker
People-person
Self-motivated
Team player
Unemployed
Ambicious
Synergy
Rockstar
Dabbled
Can’t 
Won’t
